🌴广西IPTV,#genre#
CCTV1,http://39.135.32.34:6610/000000001000/1000000001000021973/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000021973&owchid=ystenlive&owsid=4493204828791368248&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9dwOlYVpJs9gkET3fw7mWFANOKWzAL1vVaH8fJApjjCUBdxIvdqN%2fANZNkqsUShyN2&IASHttpSessionId=SLB379520180727143626843453
CCTV2,http://39.135.32.34:6610/000000001000/1000000001000012442/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000012442&owchid=ystenlive&owsid=4493204828791614401&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9dyx7PTkABdNbKa4SbgCy21JLBAKYTiZvXFSRpJG%2fkJI2P2CojQTfn0SFVF%2fSxm&IASHttpSessionId=SLB380220180727145227819837
CCTV3,http://39.135.32.34:6610/000000001000/1000000001000011218/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000011218&owchid=ystenlive&owsid=4493204828791629114&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9dG4P79aJH2TNuy1h8jRDafCtKTdp0TryLyl5Oi8%2f68Zd9sWsggiH%2fmx1JipZGXIhs&IASHttpSessionId=SLB3788201807271453251121962
CCTV4,http://39.135.32.34:6610/000000001000/8183388942203045169/1.m3u8?channel-id=ystenlive&Contentid=8183388942203045169&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=8183388942203045169&owchid=ystenlive&owsid=4493204828791643533&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5H0%2fKVztdW2ge3sbDVJSNQO8lLaOB9nR1GeQv3GtAFXeI62sBH7uJbVhSzV2OfG1wymLLnnuvhd1TwP06IgZU9&IASHttpSessionId=SLB380720180727145421811657
1CCTV5+,http://39.135.32.34:6610/000000001000/1000000001000020505/1.m3u8?channel-id=ystenlive&Contentid=1000000001000020505&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000020505&owchid=ystenlive&owsid=9681351599521713576&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9dFuoCZMHT7Lj5J0c%2fSGjYMaxigPaChcmZ8dBsJ5XiItNPOLR4Ab%2fAxrxFdDEUAzEq&IASHttpSessionId=SLB984820180727140605778173
CCTV5,http://39.135.32.34:6610/000000001000/1000000001000004794/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000004794&owchid=ystenlive&owsid=4493204828791350638&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9dRdsclt6lcCrFvFMy1p9n3YkzZOuGkhZm1kmQgblpAY%2fKpJd5XKmKG5gmTVZwpJuW&IASHttpSessionId=SLB1044620180727143517692583
CCTV6,http://39.135.32.34:6610/000000001000/1000000001000016466/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000016466&owchid=ystenlive&owsid=4493204828791653187&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9d2u8TSEHzKzT2Bcffo4Lo8QvO7yV%2be7Eq25dnAMcd7GKKR6tVawwG7tA8105Xk7V4&IASHttpSessionId=SLB1044620180727145459692797
CCTV7,http://39.135.32.34:6610/000000001000/7050628689018054317/1.m3u8?channel-id=ystenlive&Contentid=7050628689018054317&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=7050628689018054317&owchid=ystenlive&owsid=4493204828791662262&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE6r1wW2fGp5LAyU08GEFzyCCrkoNEn2CPyNTCcZBk3uak6QFYVfGZyfw4r4bGnNXP1e%2fvcluDHFWvBPiRWS&IASHttpSessionId=SLB379120180727145534957800
CCTV8,http://39.135.32.34:6610/000000001000/1000000001000003736/1.m3u8?channel-id=ystenlive&Contentid=1000000001000003736&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000003736&owchid=ystenlive&owsid=4493204828791672769&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9dZGEvjLzLnHgiLmMKTvEZyqnDiWrQmW%2bMik3YCNRJ2FvqKXFM3vL5Ewzh0%2bzMmhMM&IASHttpSessionId=SLB1049620180727145615684975
CCTV9,http://39.135.32.34:6610/000000001000/1000000001000014583/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000014583&owchid=ystenlive&owsid=4493204828792288236&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9dhnjWi4I%2fwmeCdp4XuZ8aF5NsmSK0GvQdNsKfagx32bclF%2bt%2bQ7ed5J9q3NvDKT1q&IASHttpSessionId=SLB9437201807271536191061643
